03009+5221	5.21	6.17	0.96	11.793
03015+3225	6.96	8.27	1.31	8.652
03027-0741	5.4	8.9	3.5	1.37
03061-1326	8.2	8.88	0.68	1.28
03075-7859	5.7	7.7	2	14.89
03108+6347	7.92	8.59	0.67	5.929
03121-2859	3.98	7.19	3.21	5.315
03122+3713	8.02	8.29	0.27	2.747
03124-4425	6.42	8.76	2.34	3.75
03127+7133	8.43	8.46	0.03	1.026
03136+3909	8.73	8.92	0.19	11.65
03140+0044	8.14	8.17	0.03	1.232
03158+5057	6.72	8.2	1.48	1.653
03160-0555	6.38	7.93	1.55	0.99
03163+6002	8.31	8.6	0.29	7.131
03171+4029	6.83	7.72	0.89	3.573
03184-0056	5.6	7.97	2.37	1.19
03187-1834	5.88	8.17	2.29	7.962
03196+6714	8.72	8.89	0.17	1.035
03203+1944	8.33	8.44	0.11	7.152
03212+2109	5.34	8.09	2.75	0.908
03229+2949	8.59	8.8	0.21	10.4
03233+2058	7.56	8.75	1.19	1.08
03242+6728	7.8	8.99	1.19	11.224
03246-4540	7.34	8.82	1.48	2.837
03250+4013	8.22	8.83	0.61	0.842
03280+2028	7.05	8.16	1.11	6.909
03285+5954	8.13	8.85	0.72	1.84
03291+5956	4.23	7.8	3.57	2.316
03293+4503	7.6	8.32	0.72	3.946
03302+5922	6.42	7.89	1.47	2.611
03307-0416	8.23	8.41	0.18	1.111
03312+1947	8.71	8.92	0.21	2.252
03313+2734	6.58	6.93	0.35	11.452
03345+1948	8.15	8.28	0.13	7.536
03350+6002	6.79	7.97	1.18	1.603
03356+3141	7.55	7.74	0.19	1.016
03368+0035	6	8.9	2.9	6.7
03398-4022	6.93	7.72	0.79	7.691
03401+3407	7.52	7.6	0.08	1.879
03406+2846	7.41	7.84	0.43	6.979
03407+4601	7.9	8.85	0.95	2.841
03425-8516	6.63	8.08	1.45	1.864
03427+6950	7.76	7.81	0.05	2.921
03431+2541	7.2	8.87	1.67	13.166
03443+3217	3.91	6.7	2.79	1.052
03454+4952	8.7	8.86	0.16	1.166
03470+4126	8.2	8.82	0.62	6.9
03485-3147	8.27	8.54	0.27	9.344
03486-3737	4.72	5.25	0.53	8.39
03521+4048	8.11	8.54	0.43	1.016
03543-0257	4.8	5.89	1.09	6.919
03566-3955	7.99	8.7	0.71	4.2
03571+6107	5.25	8.06	2.81	1.715
03579+4001	2.85	8.88	6.03	9.05
04009+2312	6.92	7.76	0.84	7.508
04021-3429	7.26	7.94	0.68	1.137
04029-5935	8.31	8.61	0.3	1.889
04049-3527	8.37	8.65	0.28	0.979
04077+1510	6.11	8.77	2.66	3.82
04083-3251	8.14	8.16	0.02	1.125
04089+2306	7.53	7.65	0.12	5.151
04130-2832	8.2	8.27	0.07	1.387
04139+0916	5.05	7.32	2.27	1.231
04144-1015	5.03	8.53	3.5	6.393
04158+4524	8.73	8.79	0.06	5.286
