-0.417,-0.608,0.19099998
0.312,0.283,0.029000014
0.458,0.522,-0.06400001
0.877,1.031,-0.15400004
1.053,1.245,-0.19200003
1.102,1.281,-0.17900002
1.248,0.955,0.29300004
1.35,1.5,-0.14999998
1.36,1.399,-0.039000034
1.366,1.547,-0.181
1.407,1.248,0.15899992
1.446,1.607,-0.16100001
1.468,1.629,-0.1609999
1.471,1.343,0.1279999
1.553,1.692,-0.13900006
1.605,1.67,-0.06499994
1.627,1.793,-0.16600001
1.675,1.757,-0.08200002
1.727,1.842,-0.11500001
1.746,1.675,0.0710001
1.747,1.933,-0.18599999
1.762,1.898,-0.13600004
1.767,1.884,-0.116999984
1.813,1.764,0.048999906
1.833,1.81,0.023000002
1.888,2.044,-0.1559999
1.906,2.037,-0.13099992
1.957,2.189,-0.23199987
1.989,1.904,0.08499992
2.003,2.05,-0.04699993
2.051,2.247,-0.19599986
2.083,2.26,-0.17700005
2.1,2.105,-0.0050001144
2.112,2.168,-0.055999994
2.124,2.306,-0.18199992
2.161,2.357,-0.1960001
2.183,2.271,-0.08799982
2.252,2.217,0.035000086
2.287,2.449,-0.16199994
2.29,2.227,0.062999964
2.295,2.497,-0.2019999
2.3,2.143,0.15700006
2.315,2.106,0.20900011
2.374,1.904,0.47000003
2.385,2.349,0.036000013
2.398,2.451,-0.052999973
2.41,2.515,-0.10500002
2.414,2.603,-0.18899989
2.418,1.866,0.5519999
2.431,2.624,-0.19300008
2.439,2.622,-0.18300009
2.455,1.325,1.1299999
2.456,2.452,0.004000187
2.456,2.399,0.05700016
2.457,2.67,-0.21300006
2.458,2.532,-0.07400012
2.465,2.238,0.227
2.485,2.715,-0.23000002
2.497,2.568,-0.0710001
2.514,2.608,-0.0940001
2.515,2.721,-0.20599985
2.519,2.592,-0.072999954
2.536,2.759,-0.22300005
2.552,2.602,-0.049999952
2.565,2.769,-0.204
2.575,2.546,0.029000044
2.597,2.477,0.119999886
2.66,2.854,-0.194
2.662,2.832,-0.17000008
2.672,2.793,-0.12100005
2.687,1.905,0.78200006
2.689,2.299,0.38999987
2.708,2.038,0.66999984
2.71,2.544,0.16600013
2.717,2.599,0.11800003
2.725,2.458,0.26699996
2.755,2.954,-0.19899988
2.759,2.931,-0.17199993
2.761,2.838,-0.07700014
2.77,2.834,-0.06400013
2.776,2.971,-0.19499993
2.783,2.961,-0.17799997
2.788,2.845,-0.05699992
2.814,2.732,0.08199978
2.827,2.651,0.17599988
2.842,2.663,0.1789999
2.844,2.817,0.027000189
2.847,2.587,0.26
2.849,2.963,-0.11400008
2.849,0.769,2.08
2.866,2.893,-0.02699995
2.87,2.971,-0.10100007
2.879,3.078,-0.19900012
2.886,2.849,0.03699994
2.906,2.999,-0.09300017
2.918,2.926,-0.008000135
2.922,2.881,0.04099989
2.93,2.742,0.18799996
2.937,3.173,-0.23600006
2.937,3.157,-0.22000003
2.937,1.16,1.7770001
2.949,2.779,0.16999984
2.955,2.858,0.09699988
2.957,3.123,-0.16599989
2.993,2.958,0.035000086
3.009,3.212,-0.20299983
3.016,3.132,-0.11599994
3.024,2.911,0.112999916
3.027,3.138,-0.11100006
3.031,3.126,-0.09500003
3.04,2.273,0.76699996
3.055,3.092,-0.03699994
3.09,3.011,0.078999996
3.123,3.275,-0.15200019
3.128,3.352,-0.22399998
3.134,3.367,-0.23300004
3.142,3.337,-0.19499993
3.146,3.247,-0.10100007
3.156,3.208,-0.052000046
3.162,3.313,-0.15100002
3.169,3.243,-0.07400012
3.18,2.851,0.329
3.181,3.217,-0.036000013
3.196,3.017,0.17900014
3.196,3.381,-0.18499994
3.196,3.271,-0.07499981
3.202,2.871,0.33099985
3.214,3.415,-0.20099998
3.215,2.885,0.32999992
3.219,3.115,0.10400009
3.222,3.404,-0.18200016
3.233,3.341,-0.10800004
3.254,3.436,-0.18200016
3.265,3.388,-0.12299991
3.266,3.043,0.22300005
